SKU_ID,ProductID,CPU,GPU,RAM,Storage,ScreenSize,Price,Stock,Weight
1,1,MediaTek Octa-core,Integrated Graphics,4,64 GB SSD Storage,11.6,22990,20,2.43
2,2,AMD Hexa-Core Ryzen 5,Radeon,8,512 GB SSD Storage,15.6,36289,26,1.25
3,3,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,78500,35,1.62
4,4,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,15.6,55490,42,1.65
5,5,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,21990,12,1.37
6,6,Intel Core i5 (11th Gen) Processor,Iris Xe,16,512 GB SSD Storage,14.0,34990,19,2.02
7,7,AMD Hexa-Core Ryzen 5,Radeon,8,512 GB SSD Storage,14.0,49599,33,1.84
8,6,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,14.0,39990,28,1.51
9,8,Intel Core i3 (8th Gen),UHD 620,4,NO SSD + 1024 GB HDD Storage,15.6,33111,16,1.41
10,9,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,15.6,48990,36,2.0
11,10,AMD Octa-Core Ryzen 7,"GeForce RTX 4050 GPU, 6 GB",16,512 GB SSD Storage,15.6,92990,33,1.2
12,11,AMD Dual-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,31490,9,1.64
13,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",16,1024 GB SSD Storage,16.0,104990,23,2.44
14,13,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,44999,35,1.79
15,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",16,1024 GB SSD Storage,16.0,112980,50,1.7
16,14,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,14.0,52800,3,1.59
17,15,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,36990,42,1.2
18,16,Intel Core i5 (11th Gen),Iris Xe,16,512 GB SSD Storage,15.6,47999,46,1.52
19,17,Intel Core i5 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",16,512 GB SSD Storage,15.6,77860,25,2.02
20,18,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,15.6,49900,4,1.47
21,19,Intel Core i5 (12th Gen),Iris Xe,16,1024 GB SSD Storage,14.0,69999,10,1.36
22,20,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,15.6,36990,11,1.61
23,21,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,33900,6,1.67
24,22,AMD Octa-Core Ryzen 7,Radeon,16,512 GB SSD Storage,14.0,60990,26,1.9
25,23,Intel Core i5 (11th Gen),Iris Xe,16,512 GB SSD Storage,15.6,40990,20,2.26
26,24,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,15.6,31490,48,2.04
27,25,Intel Core Ultra 5,Arc,16,1024 GB SSD Storage,14.0,80990,50,1.35
28,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,50990,3,1.56
29,26,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,17.3,57990,31,1.97
30,27,Intel Celeron Dual-Core,UHD,8,256 GB SSD Storage,14.0,25449,25,2.23
31,28,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,36990,44,2.07
32,29,Intel Celeron Dual-Core,UHD,4,64 GB SSD Storage,11.6,18999,5,2.48
33,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,48990,41,1.75
34,31,Intel Core i5 (11th Gen),Iris Xe,16,256 GB SSD Storage + 1024 GB HDD Storage,15.6,47990,31,1.47
35,32,AMD Dual-Core Ryzen 3,Radeon,8,256 GB SSD Storage,14.0,28990,3,1.87
36,33,AMD Dual-Core Ryzen 3,Radeon,8,512 GB SSD Storage,14.0,26990,23,2.24
37,34,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,39250,1,1.6
38,35,Intel Celeron Dual-Core,UHD,8,256 GB SSD Storage,14.0,27875,45,2.09
39,36,Intel Celeron Dual-Core,UHD,4,128 GB SSD Storage,11.6,24999,40,1.7
40,37,Intel Core i5 (11th Gen),"GeForce RTX 3050 GPU, 4 GB",8,512 GB SSD Storage,15.6,56990,48,1.6
41,38,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,51160,6,1.74
42,39,Intel Core i3 (12th Gen),UHD,8,512 GB SSD Storage,15.6,35199,19,1.54
43,40,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,32990,11,1.97
44,41,Intel Pentium Quad-Core,UHD 605,4,256 GB SSD Storage,15.6,23999,48,2.01
45,42,Intel Core i5 (13th Gen),Iris Xe,16,512 GB SSD Storage,15.6,64990,43,1.72
46,43,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,72990,3,1.93
47,44,Intel Core i9 (12th Gen),Iris Xe,32,1024 GB SSD Storage,14.0,169990,38,1.93
48,45,Intel Core i3 (11th Gen) Processor,UHD,8,512 GB SSD Storage,15.6,49999,45,1.65
49,46,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,14.0,54990,1,1.91
50,47,AMD Octa-Core Ryzen 7,"GeForce RTX 3060 GPU, 6 GB",16,1024 GB SSD Storage,15.6,96990,34,2.22
51,48,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,36999,47,1.89
52,49,AMD Hexa-Core Ryzen 5,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,89500,6,2.45
53,50,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,13.3,72990,49,2.05
54,21,Intel Core i3 (11th Gen) Processor,UHD,8,256 GB SSD Storage,15.6,34990,22,1.31
55,51,Intel Core i9 (11th Gen),"GeForce RTX 3060 GPU, 6 GB",16,1024 GB SSD Storage,15.6,129990,21,1.38
56,52,Intel Core i7 (10th Gen),"GeForce GTX 1650 Max Q GPU, 4 GB",8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,65999,21,2.47
57,53,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,14.0,76900,2,1.72
58,54,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,50990,27,1.83
59,55,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 Ti GPU, 4 GB",16,512 GB SSD Storage,15.6,141990,26,1.53
60,56,AMD Dual-Core Ryzen 3,Integrated,8,256 GB SSD Storage,15.6,59999,7,1.23
61,57,Intel Core i3 (10th Gen),UHD,8,512 GB SSD Storage,15.6,32990,38,2.34
62,58,Intel Core i7 (13th Gen),Iris Xe,16,512 GB SSD Storage,15.6,49990,46,1.7
63,59,Intel Core i5 (10th Gen),"Geforce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,53535,18,1.93
64,60,AMD Dual-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,37990,20,2.16
65,61,Intel Celeron Dual-Core,UHD,8,256 GB SSD Storage,14.0,28990,44,1.48
66,62,AMD Dual-Core Ryzen 3,Radeon Vega 3,8,512 GB SSD Storage,15.6,41990,43,1.94
67,63,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",16,512 GB SSD Storage,15.6,55500,32,1.53
68,64,Intel Core i3 (12th Gen),UHD Graphics,8,512 GB SSD Storage,15.6,59800,11,2.05
69,34,Intel Core i3 (11th Gen) Processor,Integrated,8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,42399,25,1.66
70,65,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,56999,16,2.06
71,66,Intel Core i3 (12th Gen) Processor,UHD,8,256 GB SSD Storage,15.6,31490,42,2.46
72,67,AMD Quad-Core Ryzen 5,Radeon,8,512 GB SSD Storage,15.6,32990,7,1.84
73,68,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,17.3,77990,11,1.94
74,69,Intel Core i3 (12th Gen),Integrated,8,256 GB SSD Storage,15.6,33990,43,2.09
75,49,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,79990,49,1.98
76,70,AMD Hexa-Core Ryzen 5,Radeon,16,512 GB SSD Storage,14.0,91990,7,1.65
77,67,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,30990,6,2.35
78,71,AMD Hexa-Core Ryzen 5,"GeForce RTX 3050 Ti GPU, 4 GB",8,512 GB SSD Storage,15.6,64551,50,2.32
79,72,Intel Core i3 (10th Gen),"UHD GPU, 128 MB",8,512 GB SSD Storage,14.0,27990,18,2.35
80,73,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,14.0,71480,18,2.19
81,74,Apple M1,M1,8,256 GB SSD Storage,13.3,90900,47,1.5
82,75,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,14.0,42999,2,1.76
83,76,Intel Core i5 (5th Gen),HD 6000,8,128 GB SSD Storage,13.3,67990,50,2.47
