OrderItemID,OrderID,SKUID,Quantity
1,1,APP-T72L6,1
2,2,21A4A09TIH,1
3,2,ASU-SH9AD,1
4,3,MSI-4E052,1
5,4,A1RA7PA,1
6,5,D560810WIN9S,1
7,5,834G9PA,1
8,5,81VV00JFIN,1
9,6,21E3S00P00,1
10,6,7N760PA,1
11,7,ASU-UKOC4,1
12,7,ASU-JNG5E,1
13,8,82SB00V3IN,1
14,8,360L6PA,1
15,9,ASU-YFLHJ,1
16,10,ASU-MAZF3,1
17,11,MSI-2JWGO,1
18,11,6N027PA,1
19,11,ACE-M2UAV,1
20,12,D552147WIN9BE,1
21,13,20X1S15800,1
22,14,ASU-Q2EI8,2
23,14,SAM-X9SNS,2
24,14,ASU-X1I90,1
25,15,ASU-TZC6U,1
26,15,K8U03PA,1
27,16,661W9PA,1
28,17,834G9PA,1
29,17,82FG0148IN,1
30,18,21ENS0MV00,1
31,19,3V7P8PA,1
32,20,ASU-OEDOB,1
33,21,6B5R3PA,1
34,21,ASU-6Z47D,1
35,22,82RK00WYIN,1
36,23,ASU-YO8I8,1
37,23,MSI-KQSM5,1
38,24,ASU-YI4X9,1
39,25,82RK00EDIN,1
40,25,81VD008SIN,1
41,25,82C700J0IH,1
42,26,ASU-14L02,1
43,27,ASU-UIU82,1
44,28,ASU-JM98B,1
45,28,9D3M7PA,1
46,29,MSI-IY2M3,1
47,30,81HQ00ETIH,1
48,31,83DV00BJIN-V2,1
49,32,834S2PA,2
50,33,7H5D3PA,1
51,33,ASU-DED0R,1
52,34,81FK00APIN,1
53,35,82FG0148IN,1
54,36,ASU-JOFXU,1
55,36,MSI-3KPWT,1
56,37,MSI-J0A39,1
57,38,ASU-0II3Q,1
58,38,81WB0159IN,1
59,39,A1RA7PA,1
60,40,81DE01K0IN,1
61,40,D552190WIN9BE,1
62,40,82H801DHIN,1
63,41,82FG0148IN,1
64,41,ACE-73HNK,1
65,42,XK1-00045-V2,1
66,43,MSI-MQ9D0,1
67,44,25U57PA,1
68,45,20VDA0QTIH,1
69,46,ASU-4QPRC,1
70,47,ASU-544SV,1
71,48,ASU-H0D7P,1
72,49,MSI-M0BCC,1
73,50,ASU-G742U,2
74,51,4TS68PA,1
75,52,ASU-SWG1X,1
76,53,ASU-P1PUP,1
77,53,SAM-O8556,1
78,53,ASU-7G0C1,1
79,54,ASU-JDSTH,1
80,55,ASU-ZAM91,1
81,56,A4VJ0PA,2
82,57,8H968PA,1
83,58,ASU-H0D7P,1
84,58,GN5530194YM001ORB1,1
85,59,GIG-SIVI1,1
86,60,ASU-21U2E,1
87,61,6J0T1PA,1
88,62,ACE-YLLQB,1
89,62,20RKS01S00,1
90,63,MSI-WWTB4,1
