SKU_ID,ProductID,CPU,GPU,RAM,Storage,ScreenSize,Weight,Price,Stock
2E4N0PA,1,MediaTek Octa-core,Integrated Graphics,4,64 GB SSD Storage,11.6,1.27,22990,34
82KU017KIN,2,AMD Hexa-Core Ryzen 5,Radeon,8,512 GB SSD Storage,15.6,1.64,36289,40
D560822WIN9B,3,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.3,78500,7
91R03PA,4,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.66,55490,34
INF-DPW0J,5,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.69,21990,24
ACE-EAHJJ,6,Intel Core i5 (11th Gen) Processor,Iris Xe,16,512 GB SSD Storage,14.0,1.54,34990,34
50M60PA,7,AMD Hexa-Core Ryzen 5,Radeon,8,512 GB SSD Storage,14.0,1.5,49599,41
ACE-DW4GM,6,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.45,39990,36
81VD008PIN,8,Intel Core i3 (8th Gen),UHD 620,4,NO SSD + 1024 GB HDD Storage,15.6,1.8,33111,6
ASU-7C98C,9,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.29,48990,31
82XT004JIN,10,AMD Octa-Core Ryzen 7,"GeForce RTX 4050 GPU, 6 GB",16,512 GB SSD Storage,15.6,2.43,92990,10
834S2PA,11,AMD Dual-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.71,31490,38
ACE-YRPVD,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",16,1024 GB SSD Storage,16.0,2.87,104990,23
6X360PA,13,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.45,44999,29
ACE-9J35D,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",16,1024 GB SSD Storage,16.0,2.8,112980,38
293420GT2FWO2MC2IN,14,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.33,52800,9
ASU-I1IE8,15,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.4,36990,16
TEC-DKSWU,16,Intel Core i5 (11th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.93,47999,46
ACE-3IAHH,17,Intel Core i5 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",16,512 GB SSD Storage,15.6,2.35,77860,23
82K101PCIN,18,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.66,49900,50
8Y2S3PA,19,Intel Core i5 (12th Gen),Iris Xe,16,1024 GB SSD Storage,14.0,1.52,69999,31
ACE-MV5RW,20,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.86,36990,11
82H801L7IN,21,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.68,33900,37
6Y6R8PA,22,AMD Octa-Core Ryzen 7,Radeon,16,512 GB SSD Storage,14.0,1.45,60990,9
82H803LKIN,23,Intel Core i5 (11th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.62,40990,11
XIA-HBI5X,24,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,15.6,1.7,31490,10
83DA0049IN,25,Intel Core Ultra 5,Arc,16,1024 GB SSD Storage,14.0,1.45,80990,47
82K101GSIN,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.02,50990,9
ASU-CG8G4,26,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,17.3,2.29,57990,10
637S3PA,27,Intel Celeron Dual-Core,UHD,8,256 GB SSD Storage,14.0,1.58,25449,20
7L030PA,28,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.69,36990,37
82BA001PHA,29,Intel Celeron Dual-Core,UHD,4,64 GB SSD Storage,11.6,1.18,18999,46
ACE-YN6X3,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.1,48990,1
ASU-DSTQO,31,Intel Core i5 (11th Gen),Iris Xe,16,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.88,47990,34
ACE-5WAXA,32,AMD Dual-Core Ryzen 3,Radeon,8,256 GB SSD Storage,14.0,1.59,28990,5
