SKU_ID,ProductID,CPU,GPU,VRAM,RAM,Storage,StorageCapacity,ScreenSize,Weight,Price,Stock
2E4N0PA,1,MediaTek Octa-core,Integrated Graphics,0,4,64 GB SSD Storage,64,11.6,1.09,22990,17
82KU017KIN,2,AMD Hexa-Core Ryzen 5,Radeon,0,8,512 GB SSD Storage,512,15.6,1.69,36289,33
D560822WIN9B,3,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",4,16,512 GB SSD Storage,512,15.6,2.22,78500,35
91R03PA,4,Intel Core i5 (12th Gen),Iris Xe,0,8,512 GB SSD Storage,512,15.6,1.72,55490,49
INF-Y3GU9,5,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.86,21990,43
ACE-V1SQ2,6,Intel Core i5 (11th Gen) Processor,Iris Xe,0,16,512 GB SSD Storage,512,14.0,1.47,34990,18
50M60PA,7,AMD Hexa-Core Ryzen 5,Radeon,0,8,512 GB SSD Storage,512,14.0,1.45,49599,20
ACE-9PVB7,6,Intel Core i5 (11th Gen),Iris Xe,0,8,512 GB SSD Storage,512,14.0,1.56,39990,45
81VD008PIN,8,Intel Core i3 (8th Gen),UHD 620,0,4,NO SSD + 1024 GB HDD Storage,1024,15.6,1.61,33111,3
ASU-9V268,9,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.27,48990,25
82XT004JIN,10,AMD Octa-Core Ryzen 7,"GeForce RTX 4050 GPU, 6 GB",6,16,512 GB SSD Storage,512,15.6,2.24,92990,50
834S2PA,11,AMD Dual-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage,512,15.6,1.66,31490,39
ACE-XJPJN,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",6,16,1024 GB SSD Storage,1024,16.0,2.97,104990,21
6X360PA,13,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,14.0,1.38,44999,25
ACE-EECZC,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",6,16,1024 GB SSD Storage,1024,16.0,2.75,112980,43
293420GT2FWO2MC2IN,14,Intel Core i5 (12th Gen),Iris Xe,0,8,512 GB SSD Storage,512,14.0,1.6,52800,38
ASU-G04U8,15,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,14.0,1.45,36990,48
