Order_ID,Customer_ID,Address_ID,OrderDate,PaymentMethod,Status
1,407,486,2025-12-08 21:03:22.185326,Apple Pay,Delivered
2,10,11,2025-12-08 21:02:19.131741,Cash on Delivery,Processing
3,221,264,2025-12-08 21:01:06.003410,Apple Pay,Delivered
4,279,330,2025-12-08 21:00:18.611197,Line Pay,Processing
5,358,425,2025-12-08 21:01:49.150781,Apple Pay,Processing
6,899,1077,2025-12-08 21:02:13.064516,Credit Card,Delivered
7,186,221,2025-12-08 21:00:01.015247,Apple Pay,Delivered
8,960,1148,2025-12-08 21:00:37.638322,Apple Pay,Delivered
9,787,941,2025-12-08 21:02:37.902421,Line Pay,Delivered
10,353,420,2025-12-08 21:00:38.683606,Apple Pay,Cancelled
11,109,133,2025-12-08 20:59:45.886554,Cash on Delivery,Delivered
12,962,1150,2025-12-08 21:03:19.411132,Credit Card,Shipped
13,16,17,2025-12-08 21:04:00.536664,Cash on Delivery,Shipped
14,770,921,2025-12-08 21:04:43.387617,Line Pay,Cancelled
15,804,962,2025-12-08 21:04:06.462004,Line Pay,Delivered
16,540,652,2025-12-08 21:04:30.951993,Cash on Delivery,Delivered
17,862,1030,2025-12-08 21:03:15.748312,Credit Card,Processing
18,758,907,2025-12-08 21:00:50.472726,Apple Pay,Cancelled
19,205,243,2025-12-08 21:01:37.548814,Credit Card,Delivered
20,956,1141,2025-12-08 21:00:21.073897,Line Pay,Shipped
21,369,438,2025-12-08 21:04:39.559079,Apple Pay,Cancelled
22,685,818,2025-12-08 21:04:06.997186,Line Pay,Shipped
23,612,734,2025-12-08 21:02:57.022061,Line Pay,Delivered
24,749,897,2025-12-08 21:04:37.597880,Credit Card,Shipped
25,101,124,2025-12-08 21:05:18.110832,Credit Card,Delivered
26,920,1099,2025-12-08 21:00:58.925298,Apple Pay,Delivered
27,289,345,2025-12-08 21:02:45.689592,Line Pay,Processing
28,641,769,2025-12-08 21:02:16.749058,Cash on Delivery,Delivered
29,354,421,2025-12-08 21:01:30.375375,Line Pay,Delivered
30,287,343,2025-12-08 21:03:02.100755,Line Pay,Delivered
31,744,888,2025-12-08 21:03:50.061220,Credit Card,Delivered
32,359,426,2025-12-08 21:00:33.677578,Credit Card,Cancelled
33,826,988,2025-12-08 21:03:23.082966,Cash on Delivery,Delivered
34,240,286,2025-12-08 21:01:10.483685,Cash on Delivery,Shipped
35,973,1163,2025-12-08 21:03:10.575973,Credit Card,Delivered
36,911,1090,2025-12-08 21:00:25.638178,Apple Pay,Delivered
37,669,800,2025-12-08 21:01:04.750546,Line Pay,Cancelled
38,726,867,2025-12-08 20:59:50.553625,Credit Card,Delivered
39,706,842,2025-12-08 21:04:50.602741,Apple Pay,Cancelled
40,234,280,2025-12-08 21:04:34.200603,Apple Pay,Delivered
41,878,1049,2025-12-08 21:04:37.307623,Credit Card,Cancelled
42,322,383,2025-12-08 20:59:47.244048,Cash on Delivery,Delivered
43,91,112,2025-12-08 21:05:14.312012,Line Pay,Delivered
44,398,473,2025-12-08 21:02:58.571527,Line Pay,Delivered
45,831,994,2025-12-08 21:01:47.701725,Credit Card,Delivered
46,618,741,2025-12-08 21:01:21.494735,Cash on Delivery,Delivered
47,700,834,2025-12-08 21:04:26.603223,Cash on Delivery,Delivered
48,401,477,2025-12-08 21:00:26.213357,Line Pay,Delivered
49,731,873,2025-12-08 21:04:47.607684,Apple Pay,Delivered
50,285,340,2025-12-08 21:05:16.494376,Credit Card,Delivered
51,742,885,2025-12-08 21:00:14.564815,Cash on Delivery,Delivered
52,430,514,2025-12-08 21:00:50.286258,Line Pay,Processing
53,221,264,2025-12-08 20:59:49.165671,Apple Pay,Delivered
54,501,605,2025-12-08 21:01:35.612284,Line Pay,Delivered
55,304,363,2025-12-08 21:03:58.993457,Apple Pay,Cancelled
56,836,1000,2025-12-08 21:03:03.301385,Apple Pay,Delivered
57,858,1025,2025-12-08 21:01:10.728538,Cash on Delivery,Shipped
58,307,366,2025-12-08 21:03:32.900715,Credit Card,Delivered
59,619,743,2025-12-08 21:04:53.147515,Cash on Delivery,Delivered
60,570,686,2025-12-08 21:04:12.408534,Apple Pay,Delivered
61,970,1159,2025-12-08 21:00:19.069874,Cash on Delivery,Delivered
62,466,558,2025-12-08 21:02:46.374226,Credit Card,Shipped
63,361,429,2025-12-08 21:05:22.510659,Line Pay,Shipped
64,71,87,2025-12-08 21:04:19.986528,Line Pay,Shipped
65,417,497,2025-12-08 21:03:52.764449,Credit Card,Delivered
66,171,204,2025-12-08 21:02:01.924268,Apple Pay,Delivered
67,546,658,2025-12-08 21:03:56.917727,Credit Card,Delivered
68,693,826,2025-12-08 20:59:24.092884,Line Pay,Cancelled
69,459,550,2025-12-08 21:05:02.566264,Apple Pay,Delivered
70,57,69,2025-12-08 20:59:44.927639,Line Pay,Delivered
71,935,1118,2025-12-08 20:59:28.392203,Apple Pay,Cancelled
72,511,619,2025-12-08 21:00:02.101725,Cash on Delivery,Processing
73,426,507,2025-12-08 21:03:06.742180,Cash on Delivery,Shipped
74,306,365,2025-12-08 21:00:05.000814,Line Pay,Delivered
75,123,150,2025-12-08 21:05:21.245494,Apple Pay,Cancelled
76,969,1158,2025-12-08 20:59:28.570901,Apple Pay,Delivered
77,826,989,2025-12-08 21:00:41.565921,Cash on Delivery,Shipped
78,849,1015,2025-12-08 21:00:52.373400,Line Pay,Shipped
79,470,563,2025-12-08 21:02:54.580961,Cash on Delivery,Processing
80,50,61,2025-12-08 21:00:27.268193,Credit Card,Delivered
81,352,419,2025-12-08 21:02:27.290618,Cash on Delivery,Delivered
82,798,955,2025-12-08 21:01:18.630130,Line Pay,Delivered
83,236,282,2025-12-08 21:03:35.920624,Cash on Delivery,Delivered
84,933,1115,2025-12-08 21:03:37.367759,Apple Pay,Delivered
85,563,678,2025-12-08 21:02:35.167911,Line Pay,Delivered
86,884,1056,2025-12-08 21:00:56.060856,Cash on Delivery,Delivered
87,846,1012,2025-12-08 21:05:12.378716,Apple Pay,Delivered
88,924,1103,2025-12-08 21:05:22.295308,Credit Card,Delivered
89,486,584,2025-12-08 21:04:59.271200,Cash on Delivery,Delivered
90,786,940,2025-12-08 21:00:58.078682,Apple Pay,Delivered
91,811,971,2025-12-08 21:04:14.179513,Apple Pay,Delivered
92,832,995,2025-12-08 21:01:18.732452,Apple Pay,Delivered
93,807,965,2025-12-08 21:03:42.600791,Credit Card,Shipped
94,850,1016,2025-12-08 21:02:36.877678,Cash on Delivery,Delivered
95,424,505,2025-12-08 21:01:00.292102,Apple Pay,Delivered
96,498,601,2025-12-08 21:01:43.458188,Apple Pay,Delivered
97,25,29,2025-12-08 21:03:37.828204,Line Pay,Processing
98,161,193,2025-12-08 21:01:10.351881,Cash on Delivery,Shipped
99,879,1050,2025-12-08 21:05:02.131971,Cash on Delivery,Shipped
100,378,449,2025-12-08 21:03:49.155642,Credit Card,Delivered
101,688,821,2025-12-08 21:04:32.694294,Credit Card,Delivered
102,157,189,2025-12-08 21:02:14.318431,Credit Card,Delivered
103,788,942,2025-12-08 21:02:17.221149,Cash on Delivery,Cancelled
104,564,680,2025-12-08 21:04:14.986983,Credit Card,Delivered
105,812,972,2025-12-08 21:00:24.385420,Cash on Delivery,Delivered
106,831,994,2025-12-08 20:59:40.210662,Credit Card,Cancelled
107,369,438,2025-12-08 21:02:51.560696,Apple Pay,Cancelled
108,909,1088,2025-12-08 21:03:31.755219,Credit Card,Delivered
109,622,746,2025-12-08 21:03:34.490600,Line Pay,Delivered
110,459,550,2025-12-08 21:01:18.369404,Apple Pay,Delivered
111,60,72,2025-12-08 21:00:55.157382,Line Pay,Delivered
112,218,261,2025-12-08 21:01:48.351680,Cash on Delivery,Shipped
113,43,54,2025-12-08 21:04:54.494287,Cash on Delivery,Shipped
114,599,718,2025-12-08 21:01:11.651569,Apple Pay,Delivered
115,668,798,2025-12-08 21:03:06.745124,Cash on Delivery,Processing
116,963,1151,2025-12-08 21:01:29.279914,Credit Card,Shipped
117,420,500,2025-12-08 20:59:54.164389,Line Pay,Delivered
118,640,768,2025-12-08 21:01:25.093334,Apple Pay,Delivered
119,2,2,2025-12-08 21:03:43.358522,Cash on Delivery,Delivered
120,218,261,2025-12-08 21:02:21.202579,Cash on Delivery,Shipped
121,964,1153,2025-12-08 21:03:36.423304,Credit Card,Delivered
122,721,860,2025-12-08 21:05:05.655261,Apple Pay,Delivered
123,901,1079,2025-12-08 21:04:40.420989,Apple Pay,Shipped
124,612,734,2025-12-08 21:00:37.606092,Line Pay,Delivered
125,628,754,2025-12-08 20:59:27.660522,Cash on Delivery,Delivered
126,340,403,2025-12-08 21:04:59.505605,Line Pay,Shipped
127,954,1139,2025-12-08 21:00:21.933824,Line Pay,Delivered
128,379,451,2025-12-08 21:03:32.284737,Cash on Delivery,Delivered
129,229,275,2025-12-08 21:02:43.704030,Apple Pay,Delivered
130,988,1181,2025-12-08 21:02:13.756069,Credit Card,Delivered
131,737,879,2025-12-08 21:02:08.949094,Line Pay,Delivered
132,825,987,2025-12-08 21:00:40.129818,Apple Pay,Shipped
133,480,578,2025-12-08 21:01:58.884491,Cash on Delivery,Delivered
134,569,685,2025-12-08 21:02:17.097745,Cash on Delivery,Shipped
135,900,1078,2025-12-08 21:02:18.858747,Cash on Delivery,Delivered
136,802,960,2025-12-08 20:59:52.033895,Apple Pay,Delivered
137,643,771,2025-12-08 21:03:32.828839,Line Pay,Cancelled
138,190,225,2025-12-08 21:04:07.560257,Credit Card,Delivered
139,128,155,2025-12-08 21:03:15.249220,Line Pay,Delivered
140,55,66,2025-12-08 21:01:01.443526,Line Pay,Delivered
141,107,131,2025-12-08 21:03:21.288646,Apple Pay,Cancelled
142,996,1190,2025-12-08 21:02:45.147596,Apple Pay,Processing
143,94,117,2025-12-08 21:04:24.569504,Credit Card,Processing
144,390,463,2025-12-08 21:01:40.695392,Apple Pay,Shipped
145,320,380,2025-12-08 21:00:06.710183,Apple Pay,Delivered
146,351,418,2025-12-08 21:03:43.245960,Apple Pay,Delivered
147,915,1094,2025-12-08 20:59:56.010446,Credit Card,Delivered
148,282,336,2025-12-08 21:01:39.579232,Cash on Delivery,Delivered
149,427,510,2025-12-08 21:04:01.788355,Apple Pay,Shipped
150,10,11,2025-12-08 21:01:08.416049,Cash on Delivery,Shipped
151,924,1103,2025-12-08 21:04:42.027260,Credit Card,Shipped
152,450,538,2025-12-08 21:03:31.324150,Line Pay,Delivered
153,450,538,2025-12-08 20:59:42.245519,Line Pay,Shipped
154,499,603,2025-12-08 20:59:37.338979,Line Pay,Cancelled
155,756,905,2025-12-08 21:02:30.304586,Apple Pay,Shipped
156,113,138,2025-12-08 21:04:18.284859,Line Pay,Delivered
157,610,731,2025-12-08 21:00:00.867816,Line Pay,Shipped
158,939,1123,2025-12-08 21:04:45.761707,Credit Card,Delivered
159,732,874,2025-12-08 21:04:57.619689,Apple Pay,Delivered
160,569,685,2025-12-08 21:02:08.635986,Cash on Delivery,Delivered
161,410,489,2025-12-08 21:02:42.645088,Line Pay,Delivered
162,906,1085,2025-12-08 21:02:26.892352,Apple Pay,Shipped
163,810,970,2025-12-08 21:03:25.244636,Cash on Delivery,Delivered
164,535,647,2025-12-08 21:03:18.714761,Apple Pay,Shipped
165,203,241,2025-12-08 21:05:15.214899,Line Pay,Processing
166,102,125,2025-12-08 20:59:42.114917,Cash on Delivery,Shipped
167,825,987,2025-12-08 21:03:52.818367,Apple Pay,Delivered
168,759,909,2025-12-08 21:00:00.322774,Apple Pay,Delivered
169,764,914,2025-12-08 21:03:37.754646,Line Pay,Delivered
170,506,612,2025-12-08 21:04:28.820647,Cash on Delivery,Delivered
171,651,779,2025-12-08 21:03:27.467061,Line Pay,Delivered
172,81,98,2025-12-08 21:05:09.089333,Credit Card,Delivered
173,694,827,2025-12-08 21:04:42.921355,Cash on Delivery,Shipped
174,781,934,2025-12-08 21:02:03.361540,Apple Pay,Delivered
175,707,843,2025-12-08 20:59:26.564048,Line Pay,Cancelled
176,196,232,2025-12-08 21:00:43.588490,Apple Pay,Delivered
177,469,562,2025-12-08 21:02:19.071297,Apple Pay,Delivered
178,969,1158,2025-12-08 21:02:52.524454,Apple Pay,Delivered
179,560,675,2025-12-08 21:03:23.650950,Apple Pay,Shipped
180,210,250,2025-12-08 21:05:03.366267,Apple Pay,Shipped
181,62,75,2025-12-08 21:01:22.537448,Line Pay,Delivered
182,800,957,2025-12-08 21:04:32.397101,Line Pay,Cancelled
183,62,75,2025-12-08 21:00:33.062134,Line Pay,Delivered
184,152,184,2025-12-08 21:05:15.616226,Cash on Delivery,Delivered
185,925,1104,2025-12-08 21:04:14.159678,Cash on Delivery,Delivered
186,829,992,2025-12-08 20:59:30.668850,Credit Card,Delivered
187,616,739,2025-12-08 21:00:31.129528,Credit Card,Shipped
188,346,411,2025-12-08 21:04:56.819741,Credit Card,Shipped
189,95,118,2025-12-08 21:02:52.174462,Cash on Delivery,Cancelled
190,83,100,2025-12-08 21:05:13.939826,Line Pay,Delivered
191,212,253,2025-12-08 21:05:07.653061,Line Pay,Shipped
192,423,503,2025-12-08 21:01:28.306420,Line Pay,Delivered
193,916,1095,2025-12-08 21:02:57.155420,Line Pay,Shipped
194,629,755,2025-12-08 21:01:25.060793,Line Pay,Delivered
195,325,386,2025-12-08 21:03:15.319749,Apple Pay,Delivered
196,695,828,2025-12-08 20:59:47.591681,Line Pay,Delivered
197,92,114,2025-12-08 21:02:11.381184,Line Pay,Delivered
198,499,603,2025-12-08 21:04:17.143217,Line Pay,Shipped
199,28,33,2025-12-08 21:01:55.938665,Apple Pay,Delivered
200,510,618,2025-12-08 21:04:25.688093,Cash on Delivery,Delivered
201,777,928,2025-12-08 21:03:59.281903,Credit Card,Delivered
202,181,215,2025-12-08 21:01:43.281425,Credit Card,Cancelled
203,695,828,2025-12-08 21:02:18.635089,Line Pay,Shipped
204,393,468,2025-12-08 20:59:45.742133,Credit Card,Delivered
205,403,480,2025-12-08 20:59:43.685174,Apple Pay,Shipped
206,638,766,2025-12-08 21:04:08.455710,Line Pay,Delivered
207,377,448,2025-12-08 21:01:55.358335,Credit Card,Cancelled
208,928,1109,2025-12-08 21:02:41.958237,Apple Pay,Delivered
209,203,241,2025-12-08 21:00:05.299717,Line Pay,Delivered
210,347,413,2025-12-08 21:03:55.852663,Apple Pay,Delivered
211,126,153,2025-12-08 21:01:12.359004,Credit Card,Delivered
212,984,1176,2025-12-08 21:00:03.712200,Credit Card,Delivered
213,949,1133,2025-12-08 21:00:04.634578,Line Pay,Delivered
214,947,1131,2025-12-08 21:04:00.890274,Apple Pay,Shipped
215,795,951,2025-12-08 21:04:35.345466,Cash on Delivery,Cancelled
216,652,780,2025-12-08 21:04:34.979985,Line Pay,Processing
217,175,209,2025-12-08 21:01:34.402944,Apple Pay,Delivered
218,90,109,2025-12-08 20:59:52.094813,Cash on Delivery,Delivered
219,596,715,2025-12-08 21:00:52.811792,Credit Card,Cancelled
220,710,847,2025-12-08 21:00:33.059522,Cash on Delivery,Shipped
221,479,575,2025-12-08 21:02:14.381114,Credit Card,Delivered
222,421,501,2025-12-08 21:03:16.317730,Cash on Delivery,Shipped
223,230,276,2025-12-08 21:02:11.623553,Credit Card,Delivered
224,708,844,2025-12-08 20:59:57.498058,Credit Card,Delivered
225,963,1151,2025-12-08 20:59:24.669633,Credit Card,Cancelled
226,827,990,2025-12-08 21:01:56.505836,Cash on Delivery,Delivered
227,953,1137,2025-12-08 21:01:35.051585,Cash on Delivery,Delivered
228,403,480,2025-12-08 21:03:19.354204,Apple Pay,Delivered
229,895,1072,2025-12-08 20:59:54.326053,Apple Pay,Delivered
230,561,676,2025-12-08 21:04:13.882784,Apple Pay,Shipped
231,109,133,2025-12-08 21:00:35.418264,Cash on Delivery,Delivered
232,831,994,2025-12-08 21:03:04.164060,Credit Card,Shipped
233,68,83,2025-12-08 21:04:50.362287,Line Pay,Delivered
234,719,858,2025-12-08 21:02:20.882667,Apple Pay,Delivered
235,139,168,2025-12-08 21:02:08.496677,Line Pay,Shipped
236,488,586,2025-12-08 21:00:37.933019,Credit Card,Cancelled
237,970,1159,2025-12-08 21:01:44.881354,Cash on Delivery,Shipped
238,490,588,2025-12-08 21:03:18.623996,Cash on Delivery,Cancelled
239,542,654,2025-12-08 21:00:05.139873,Line Pay,Delivered
240,527,638,2025-12-08 21:02:21.472277,Cash on Delivery,Delivered
241,271,322,2025-12-08 21:01:12.296813,Cash on Delivery,Shipped
242,404,481,2025-12-08 21:04:27.075046,Credit Card,Delivered
243,254,300,2025-12-08 20:59:36.469799,Cash on Delivery,Shipped
244,527,638,2025-12-08 21:02:22.536996,Cash on Delivery,Delivered
245,495,597,2025-12-08 21:02:32.318049,Line Pay,Delivered
246,95,118,2025-12-08 21:03:16.813183,Cash on Delivery,Delivered
247,267,317,2025-12-08 21:03:09.992592,Apple Pay,Cancelled
248,781,934,2025-12-08 20:59:40.425380,Apple Pay,Delivered
249,958,1145,2025-12-08 21:03:02.456527,Credit Card,Cancelled
250,388,461,2025-12-08 21:04:45.532617,Credit Card,Delivered
251,596,715,2025-12-08 21:01:32.505009,Credit Card,Delivered
252,421,501,2025-12-08 21:01:11.420886,Cash on Delivery,Cancelled
253,652,780,2025-12-08 20:59:30.286974,Line Pay,Delivered
254,815,975,2025-12-08 21:00:09.107867,Credit Card,Delivered
255,205,243,2025-12-08 21:02:33.816927,Credit Card,Processing
256,840,1006,2025-12-08 21:02:22.501211,Apple Pay,Shipped
257,39,48,2025-12-08 21:04:37.012852,Credit Card,Processing
258,464,555,2025-12-08 21:03:00.738458,Apple Pay,Processing
259,248,294,2025-12-08 21:05:11.426724,Line Pay,Delivered
260,614,736,2025-12-08 21:04:55.898886,Credit Card,Delivered
261,20,23,2025-12-08 21:03:13.020590,Credit Card,Delivered
262,256,302,2025-12-08 21:00:57.028596,Cash on Delivery,Delivered
263,18,20,2025-12-08 21:05:20.611959,Line Pay,Delivered
264,266,315,2025-12-08 21:02:33.055689,Credit Card,Delivered
265,422,502,2025-12-08 21:01:12.993515,Apple Pay,Delivered
266,917,1096,2025-12-08 21:00:34.829074,Cash on Delivery,Delivered
267,314,374,2025-12-08 21:02:16.116722,Cash on Delivery,Delivered
268,21,24,2025-12-08 21:02:59.078410,Credit Card,Delivered
269,697,830,2025-12-08 20:59:32.517963,Credit Card,Cancelled
270,507,614,2025-12-08 21:01:58.761672,Credit Card,Cancelled
271,526,637,2025-12-08 20:59:59.759704,Cash on Delivery,Delivered
272,885,1057,2025-12-08 21:04:26.457546,Apple Pay,Delivered
273,254,300,2025-12-08 21:03:09.968972,Cash on Delivery,Delivered
274,515,624,2025-12-08 21:05:15.871247,Credit Card,Delivered
275,219,262,2025-12-08 21:00:56.623481,Apple Pay,Delivered
276,345,410,2025-12-08 21:00:40.281141,Apple Pay,Delivered
277,480,577,2025-12-08 21:02:12.159521,Apple Pay,Shipped
278,754,903,2025-12-08 20:59:58.044315,Line Pay,Delivered
279,522,633,2025-12-08 21:00:42.416467,Cash on Delivery,Delivered
280,62,75,2025-12-08 20:59:41.815356,Line Pay,Shipped
281,882,1054,2025-12-08 21:04:20.150224,Line Pay,Shipped
282,590,708,2025-12-08 21:03:06.194508,Apple Pay,Delivered
283,637,765,2025-12-08 21:01:51.651198,Cash on Delivery,Delivered
