OrderItemID,OrderID,SKUID,Quantity
1,1,7F692PA,1
2,2,D560877WIN9S,1
3,2,ASU-2P623,1
4,3,ASU-NMJX4,1
5,3,ASU-O750K,1
6,4,ASU-NLKO8,1
7,4,3C464PA,1
8,4,ASU-9JXO7,1
9,5,INF-6EJ9E,2
10,6,ASU-A5XNU,1
11,7,ACE-0J96R,1
12,7,ASU-W0565,1
13,8,67U22PA,1
14,9,ASU-GRYYK,1
15,10,RDP-630AP,1
16,11,D560074WIN9S,1
17,12,4ST42PA,1
18,13,ASU-4QTS9,1
19,13,D560188WIN9S,1
20,14,21Z04PA,2
21,14,ASU-CLVT7,1
22,15,21A4A08WIH,1
23,16,ASU-T69GJ,1
24,17,20W0S0Y000,2
25,17,80X800RWIN,1
26,17,81D6007BIN,1
27,18,C562511WIN9,2
28,18,ASU-3DDI7,1
29,18,ASU-FV7SD,1
30,19,ACE-ZXIZ2,1
31,20,D560076WIN9S,1
32,21,MSI-2IJ86,2
33,21,82R90068IN,1
34,22,QIX-00031,1
35,22,50N42PA,1
36,22,3DY20PA,1
37,23,82XT004KIN,1
38,24,21Z04PA,1
39,25,ASU-35ZVQ,1
40,26,81WA00GLIN,1
41,27,ASU-RQLJG,1
42,28,MSI-2QVQ3,1
43,28,MSI-3YF0W,1
44,29,A9NC8PA,1
45,30,6J8N3PA,1
46,31,552V9PA,1
47,32,6H8V9PA,2
48,33,ASU-SBLQQ,1
49,33,MSI-QUBN8,2
50,33,7N760PA,1
51,34,MSI-V8063,1
52,34,FKH-00015,1
53,35,ASU-NLRWA,1
54,35,82H801L7IN,1
55,36,ASU-ERTBG,1
56,37,SMA-M3Y82,1
57,37,ASU-06WXP,1
58,38,20VDA0TLIH,2
59,39,APP-VM2JT,1
60,40,82RK00VWIN,1
61,40,81X800LCIN,1
62,40,ASU-2LJLO,1
63,41,IN54303CRT9001SDS1,1
64,41,MSI-P8E83,1
65,42,1A5F2PA,1
66,43,COC-S07BK,1
67,44,D560509WIN9S-V2,1
68,45,82FJ00A0IH,1
69,45,MSI-SY2XR,1
70,45,20RAS1G500,1
71,46,ASU-K47HV,1
72,46,ACE-22368,1
73,47,80T70015IH,1
74,48,6H9E0PA,1
75,48,INF-CGSTP,1
76,49,6H4N5PA,1
77,49,ASU-RA0S4,1
78,50,D560860WIN9BE,1
79,50,ACE-1XDE8,1
80,50,7G6F1PA,1
81,51,ASU-1EXBQ,1
82,51,ZEB-VGEFO,1
83,52,ASU-AJ99C,1
84,53,7K5J8PA,1
85,54,HON-XYXYH,1
86,54,552W3PA,2
87,55,ASU-PDX0R,1
88,56,81WE007TIN,1
89,57,ASU-QEC7B,2
90,58,6AQ35PA,1
91,59,5AY25PA,1
92,59,ASU-ALGX8,2
93,60,INF-KY3BY,1
94,60,XIA-Q1PJT,1
95,60,RDP-630AP,1
96,61,MSI-8INS6,1
97,61,82RK00WXIN,1
98,62,81SY00UAIN,1
99,62,6JP48PA,1
100,63,ASU-FVHZZ,2
101,63,81Y401BHIN,1
102,63,ASU-VWSR7,1
103,64,ACE-GR0JY,1
104,64,ASU-1N5C9,1
105,65,7Q700PA,1
106,66,INF-2O4JU,1
107,67,D560492WIN9BE,1
108,68,D560880WIN9S,1
109,69,ASU-NLKO8,1
110,69,ASU-JT93A,1
111,70,GIG-E734P,2
112,71,ASU-LDJR2,2
113,72,9D3N1PA,1
114,73,MSI-OW3UI,2
115,74,ACE-UI5UV,1
116,75,A553502HIN9,1
117,75,80N400MHIN,1
118,75,D560291WIN9S,1
119,76,FRI-F56,1
120,77,J8C30PA,1
121,77,ASU-NN29F,1
122,78,DAG-00105,1
123,79,82KB00EVIN,1
124,80,81WL002RIN,1
125,80,82R90068IN,1
126,81,D560105WIN9,1
127,82,80E300RGIN,1
128,82,ASU-XPP04,1
129,82,7M433PA,1
130,83,80XL040WIN,1
131,84,ASU-TI37V,1
132,85,8QG92PA,1
133,86,21W93PA,1
134,87,81YU006HIN,1
135,88,ASU-LDJR2,1
136,89,ASU-BBT3A,1
137,90,20WEA01GIH,1
138,90,ASU-1DUVL,1
139,90,172V2PA,1
140,91,IN3530RMD8W001ORS1,1
141,92,VN3530KCKC9001ORB1,1
142,92,BTS-ICC-C783523WIN8,1
143,93,ACE-9QFP0,1
144,93,D560648WIN9S,1
145,94,D560648WIN9S,1
146,95,20TDS0G600,1
147,96,MSI-XN9Q8,2
148,97,82BG005JIN,1
149,98,6JP48PA,1
150,98,ACE-9Z0SW,1
151,99,81W100HKIN,1
152,99,A566118WIN9,1
153,99,ASU-R9D7N,1
154,100,6D4K3PA,1
155,100,MSI-GM4MX,1
156,101,18N71PA-V2,1
157,101,IN3525NV1XWS02ORS1,1
158,102,RC55KE,1
159,103,MSI-TR4JD,1
160,103,21JFA016IN,1
161,104,ASU-6X5X3,1
162,104,ASU-JF5OZ,1
163,104,2P0Q1PA,1
164,105,637S4PA,2
165,105,NOK-RCMVH,1
166,106,D560821WIN9B,1
167,106,ACE-8Y9EN,1
168,106,ACE-ELNXH,1
169,107,82K10168IN,1
170,108,ASU-OUU66,1
171,108,ACE-SKHCI,1
172,109,ASU-JF5OZ,1
173,110,1HQ29PA,1
174,111,7G6F1PA,1
175,112,82A300DFIN,1
176,113,8C4S3PA,1
177,114,D560749WIN9S,1
178,115,SMA-M3Y82,2
179,116,50D16PA,1
180,116,9D0K7PA,1
181,117,MSI-BU41C,2
182,118,LG-Z19IB,1
183,118,ASU-AC2A1,1
184,119,ACE-ZXIZ2,1
185,120,ASU-SIWPQ,1
186,120,82V6009LIN,1
187,121,ASU-3BEF0,1
188,122,7MW55PA,1
189,123,W6T46PA,1
190,123,D560459WIN9SE,1
191,124,MSI-XOWX4,1
192,124,ACE-2EVDS,1
193,125,80E3014FIN,1
194,125,MSI-DYI02,1
195,126,ASU-NLRWA,2
196,127,ASU-2US2S,1
197,128,7GZ75PA,1
198,129,82R90068IN,1
199,130,ASU-7991D,1
200,131,81N6006PIN,1
201,132,91R01PA,2
202,132,ASU-GRYYK,1
203,133,D552260WIN9B,1
204,134,81WQ00B6IN,1
205,135,ASU-D4ZAG,1
206,136,ASU-SW028,1
207,137,A560120WIN9,1
208,138,MSI-V62GM,1
209,139,AVI-UK0QD,1
210,139,ASU-PDX0R,1
211,140,ACE-55GO0,1
212,141,SAM-OWA7V,2
213,141,82R1007XIN,1
