ProductID,BrandName,ProductName,Category,Status
1,HP,HP Chromebook 11A-NA0002MU,Laptop,Active
2,Lenovo,Lenovo Ideapad Slim 3,Laptop,Active
3,Dell,Dell G15-5520,Laptop,Active
4,HP,HP 15s-fy5007TU,Laptop,Active
5,Infinix,Infinix Inbook Y2 Plus XL29 Laptop,Laptop,Active
6,Acer,Acer One 14 Z8-415,Laptop,Active
7,HP,HP 14s-fq1092AU,Laptop,Active
8,Lenovo,Lenovo Ideapad S145,Laptop,Active
9,ASUS,ASUS TUF Gaming F15 FX506HF-HN075W Laptop,Laptop,Active
10,Lenovo,Lenovo LOQ 15APH8,Laptop,Active
11,HP,HP 15s-eq1580AU,Laptop,Active
12,Acer,Acer Predator Helios Neo 16 PHN16-71,Laptop,Active
13,HP,HP 14s-dy2508TU,Laptop,Active
14,Dell,Dell Vostro 3420,Laptop,Active
15,ASUS,ASUS VivoBook 14 X415EA-EK322WS Laptop,Laptop,Active
16,Tecno,Tecno MEGABOOK T1 Laptop,Laptop,Active
17,Acer,Acer Nitro V ANV15-51,Laptop,Active
18,Lenovo,Lenovo Ideapad Gaming 3 15IHU6,Laptop,Active
19,HP,HP Pavilion 14-dv2153TU,Laptop,Active
20,Acer,Acer Aspire 3 A315-59,Laptop,Active
21,Lenovo,Lenovo Ideapad 3 15ITL6,Laptop,Active
22,HP,HP 14s-fy1005AU,Laptop,Active
23,Lenovo,Lenovo Ideapad Slim 3 15ITL6,Laptop,Active
24,Xiaomi,Xiaomi RedmiBook 15 e-Learning Edition Laptop,Laptop,Active
25,Lenovo,Lenovo Ideapad Slim 5 14IMH9,Laptop,Active
26,ASUS,ASUS TUF Gaming F17 FX706HF-HX018W Laptop,Laptop,Active
27,HP,HP 14s- dq3032tu,Laptop,Active
28,HP,HP 15-fc0026AU,Laptop,Active
29,Lenovo,Lenovo Ideapad 3 CB 11IGL05,Laptop,Active
30,Acer,Acer Aspire 7 A715-42G,Laptop,Active
31,ASUS,ASUS Vivobook K513EA-L523TS Laptop,Laptop,Active
32,Acer,Acer One 14 Z2-493,Laptop,Active
33,HP,HP 245 G8,Laptop,Active
34,Dell,Dell Inspiron 15 3511,Laptop,Active
35,HP,HP 14s-dq3017TU,Laptop,Active
36,ASUS,ASUS Notebook 12 BR1100CKA-GJ0722W Laptop,Laptop,Active
37,MSI,MSI GF63 Thin 11UC-867IN Laptop,Laptop,Active
38,ASUS,ASUS TUF Gaming F15 FX506LH-HN258T Laptop,Laptop,Active
39,Acer,Acer Aspire 3 A315-510P,Laptop,Active
40,Acer,Acer Extensa EX215-54,Laptop,Active
41,Acer,Acer Extensa EX215-31,Laptop,Active
42,ASUS,ASUS VivoBook 15 X1502VA-NJ542WS Laptop,Laptop,Active
43,Lenovo,Lenovo Ideapad Gaming 3 15ACH6,Laptop,Active
44,ASUS,ASUS Zenbook 14X OLED Space Edition UX5401ZAS-KN901WS Laptop,Laptop,Active
45,HP,HP 15s-du3564TU,Laptop,Active
46,HP,HP 14s-dy5005TU Laptop,Laptop,Active
47,ASUS,ASUS TUF Gaming A15 FA577RM-HF031WS Laptop,Laptop,Active
48,ASUS,ASUS VivoBook 14 X1400EA-EK322WS Laptop,Laptop,Active
49,Dell,Dell G15-5525,Laptop,Active
50,Samsung,Samsung Galaxy Book Pro Intel Evo 13.3 2 Pro 13.3 Laptop,Laptop,Active
51,Acer,Acer Predator Helios 300 PH315-54,Laptop,Active
52,MSI,MSI GF63 Thin 10SCXR-1617IN Laptop,Laptop,Active
53,Dell,Dell Inspiron 14 5410,Laptop,Active
54,ASUS,ASUS TUF Gaming F15 FX506LHB-HN355WS Laptop,Laptop,Active
55,ASUS,ASUS TUF Gaming A15 FA577RE-HN055WS Laptop,Laptop,Active
56,ASUS,ASUS VivoBook 15 M515DA-BR322WS Laptop,Laptop,Active
57,ASUS,ASUS VivoBook 15 X515JA-BQ322WS Laptop,Laptop,Active
58,Infinix,Infinix Zero Book 13 ZL513 Laptop,Laptop,Active
59,Lenovo,Lenovo Legion 5i,Laptop,Active
60,HP,HP 15s-eq1560AU,Laptop,Active
61,HP,HP 14s-dq3037TU,Laptop,Active
62,ASUS,ASUS VivoBook 15 X512DA-BQ313WS Laptop,Laptop,Active
63,Acer,Acer Aspire 5 A515-57G,Laptop,Active
