SKU_ID,ProductID,CPU,GPU,VRAM,RAM,StorageType,StorageCapacity,ScreenSize,Weight,Price,Stock
2E4N0PA,1,MediaTek Octa-core,Integrated Graphics,0,4,SSD,64,11.6,1.2,22990,2
82KU017KIN,2,AMD Hexa-Core Ryzen 5,Radeon,0,8,SSD,512,15.6,1.64,36289,36
D560822WIN9B,3,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",4,16,SSD,512,15.6,2.61,78500,33
91R03PA,4,Intel Core i5 (12th Gen),Iris Xe,0,8,SSD,512,15.6,1.65,55490,49
INF-TEHPU,5,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.89,21990,32
ACE-FGNVU,6,Intel Core i5 (11th Gen) Processor,Iris Xe,0,16,SSD,512,14.0,1.37,34990,30
50M60PA,7,AMD Hexa-Core Ryzen 5,Radeon,0,8,SSD,512,14.0,1.46,49599,41
ACE-SKHCI,6,Intel Core i5 (11th Gen),Iris Xe,0,8,SSD,512,14.0,1.38,39990,22
81VD008PIN,8,Intel Core i3 (8th Gen),UHD 620,0,4,HDD,1024,15.6,1.7,33111,38
ASU-I2LLM,9,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,SSD,512,15.6,2.35,48990,12
82XT004JIN,10,AMD Octa-Core Ryzen 7,"GeForce RTX 4050 GPU, 6 GB",6,16,SSD,512,15.6,2.43,92990,7
834S2PA,11,AMD Dual-Core Ryzen 3,Radeon,0,8,SSD,512,15.6,1.65,31490,12
ACE-0ZIOW,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",6,16,SSD,1024,16.0,2.71,104990,48
6X360PA,13,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,14.0,1.56,44999,12
ACE-ELG4A,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",6,16,SSD,1024,16.0,3.11,112980,42
293420GT2FWO2MC2IN,14,Intel Core i5 (12th Gen),Iris Xe,0,8,SSD,512,14.0,1.42,52800,25
ASU-QTRMP,15,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,14.0,1.33,36990,8
TEC-CDN2E,16,Intel Core i5 (11th Gen),Iris Xe,0,16,SSD,512,15.6,1.88,47999,18
ACE-C732R,17,Intel Core i5 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",6,16,SSD,512,15.6,2.47,77860,18
82K101PCIN,18,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,SSD,512,15.6,2.59,49900,49
8Y2S3PA,19,Intel Core i5 (12th Gen),Iris Xe,0,16,SSD,1024,14.0,1.38,69999,8
ACE-6P9WG,20,Intel Core i5 (12th Gen),Iris Xe,0,8,SSD,512,15.6,1.76,36990,25
82H801L7IN,21,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.74,33900,41
6Y6R8PA,22,AMD Octa-Core Ryzen 7,Radeon,0,16,SSD,512,14.0,1.54,60990,25
