SKU_ID,ProductID,CPU,GPU,RAM,Storage,ScreenSize,Weight,Price,Stock
2E4N0PA,1,MediaTek Octa-core,Integrated Graphics,4,64 GB SSD Storage,11.6,1.15,22990,8
82KU017KIN,2,AMD Hexa-Core Ryzen 5,Radeon,8,512 GB SSD Storage,15.6,1.86,36289,45
D560822WIN9B,3,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.41,78500,34
91R03PA,4,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.67,55490,48
INF-SESR,5,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.92,21990,44
ACE-NRC1,6,Intel Core i5 (11th Gen) Processor,Iris Xe,16,512 GB SSD Storage,14.0,1.33,34990,50
50M60PA,7,AMD Hexa-Core Ryzen 5,Radeon,8,512 GB SSD Storage,14.0,1.49,49599,28
ACE-MW9Y,6,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.32,39990,13
81VD008PIN,8,Intel Core i3 (8th Gen),UHD 620,4,NO SSD + 1024 GB HDD Storage,15.6,1.8,33111,47
ASU-EZ3U,9,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.21,48990,36
82XT004JIN,10,AMD Octa-Core Ryzen 7,"GeForce RTX 4050 GPU, 6 GB",16,512 GB SSD Storage,15.6,2.71,92990,7
834S2PA,11,AMD Dual-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.8,31490,36
ACE-0TEY,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",16,1024 GB SSD Storage,16.0,2.56,104990,46
6X360PA,13,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.4,44999,23
ACE-569R,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",16,1024 GB SSD Storage,16.0,2.94,112980,32
293420GT2FWO2MC2IN,14,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.57,52800,4
ASU-ZIRV,15,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.37,36990,21
TEC-3CTJ,16,Intel Core i5 (11th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.73,47999,17
ACE-9GZF,17,Intel Core i5 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",16,512 GB SSD Storage,15.6,2.64,77860,33
